Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2036-09-01,57987.4242933201,3636971.2516770368,3369775967.386731,36915.27550873589,2315326.079907915,2666429692.5364866,22609.315002933738,1418056.236984004,2116866331.6159868
2036-10-01,57652.76360010582,3615981.332998637,3373391948.71973,36665.56665481781,2299664.3405901734,2668729356.8770766,22461.130182152483,1408762.0850246036,2118275093.7010114
2036-11-01,57302.76662428495,3594029.522675152,3376985978.242405,36433.26307338448,2285094.259962674,2671014451.137039,22323.305790412443,1400117.7391746684,2119675211.440186
2036-12-01,56921.2194634218,3570098.8847458153,3380556077.1271505,36188.535925614306,2269744.9732545293,2673284196.110294,22171.270047518254,1390582.057380345,2121065793.4975665
2037-01-01,56545.53064829913,3546535.682261321,3384102612.809412,35949.322847669384,2254741.5290058237,2675538937.6393,22015.252310308075,1380796.6249025224,2122446590.122469
2037-02-01,56220.8105539429,3526169.2379432986,3387628782.047355,35729.01270860718,2240923.6770838425,2677779861.316384,21844.064764046234,1370059.7420009798,2123816649.86447
2037-03-01,55869.99443425314,3504166.050916357,3391132948.0982714,35490.89492952271,2225988.9299796643,2680005850.2463636,21683.504850142835,1359989.4242009586,2125176639.288671
2037-04-01,55562.66844163622,3484890.5646594237,3394617838.662931,35264.32176036087,2211778.2608098336,2682217628.5071735,21548.472529243154,1351520.1970341306,2126528159.4857051
2037-05-01,55218.11749099738,3463280.3290353557,3398081118.9919662,35036.2657548925,2197474.5881468575,2684415103.09532,21406.732684385384,1342630.2739646514,2127870789.7596698
2037-06-01,54901.644949499176,3443431.171232588,3401524550.163199,34830.33521329466,2184558.6245778413,2686599661.719898,21258.23200353185,1333316.3112615177,2129204106.0709312
2037-07-01,54575.066996457805,3422948.2020178335,3404947498.3652167,34613.72400494086,2170972.7695898907,2688770634.489488,21112.72257518634,1324189.9599156873,2130528296.0308468
2037-08-01,54255.57808843256,3402909.85770649,3408350408.2229233,34396.916522970874,2157374.6043207333,2690928009.0938087,20967.83112686164,1315102.368276762,2131843398.3991237
2037-09-01,53969.97536925069,3384996.8551594033,3411735405.0780826,34190.98748262816,2144458.7349104383,2693072467.828719,20818.584488303903,1305741.6191064208,2133149140.0182302
2037-10-01,53668.59037194487,3366093.9881283822,3415101499.0662107,33981.91636807588,2131345.794605719,2695203813.623325,20672.29623492711,1296566.4198546284,2134445706.4380848
2037-11-01,53406.82450709337,3349676.033084896,3418451175.0992956,33773.88042185542,2118297.780058772,2697322111.4033837,20551.962819385215,1289019.1080318408,2135734725.5461166
