Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2030-03-01,125180.580657122,7837556.154942408,3053913814.5511765,81558.30207780693,5106365.293091492,2442512842.342533,52274.50862015689,3272906.984708023,1973659377.8606033
2030-04-01,123332.1248201337,7727990.941229577,3061641805.492406,80232.67188617476,5027379.22038771,2447540221.562921,51360.55814304298,3218252.573243073,1976877630.4338465
2030-05-01,121573.44520253902,7622655.014199197,3069264460.506605,78950.77946415018,4950213.872402216,2452490435.435323,50472.67781706533,3164636.899129996,1980042267.3329766
2030-06-01,119828.11475982553,7519214.201179053,3076783674.707784,77735.65113139154,4877912.108494819,2457368347.543818,49565.57484151927,3110239.821305334,1983152507.1542819
2030-07-01,118100.12243057818,7407239.678845863,3084190914.38663,76529.4723774143,4799928.507511425,2462168276.0513296,48732.15541344976,3056480.7875315687,1986208987.9418135
2030-08-01,116507.65116585049,7307359.881122143,3091498274.267752,75346.4695016414,4725730.5671429485,2466894006.6184726,47924.61368276736,3005831.770183169,1989214819.7119966
2030-09-01,114882.84764730987,7205452.204439275,3098703726.4721913,74234.76664654826,4656004.564071507,2471550011.182544,47106.15838655848,2954498.254004948,1992169317.9660015
2030-10-01,113365.34816640292,7110274.636996792,3105814001.109188,73142.52841216452,4587499.382010959,2476137510.564555,46336.621162520845,2906232.8793133073,1995075550.8453147
2030-11-01,111881.73380526298,7017222.344266094,3112831223.453454,72076.45216245644,4520635.079629268,2480658145.6441846,45581.42778206357,2858867.150491027,1997934417.9958057
2030-12-01,110373.18798931889,6922606.350690081,3119753829.804144,71043.63129867218,4455856.555052719,2485114002.1992373,44878.54136353681,2814782.114321029,2000749200.1101267
2031-01-01,108979.96244041099,6835223.244262577,3126589053.0484066,70043.27512712519,4393114.215973292,2489507116.4152107,44165.12921910881,2770036.9046225045,2003519237.0147493
2031-02-01,107573.75799644091,6747026.101536774,3133336079.1499434,69056.6869315331,4331235.404345755,2493838351.8195567,43454.296806355414,2725453.4956946117,2006244690.510444
2031-03-01,106236.98647020622,6663183.791411334,3139999262.9413548,68128.23822673642,4273003.101580908,2498111354.921138,42791.46539518993,2683880.7095863125,2008928571.2200303
2031-04-01,104889.29096656495,6578656.329422954,3146577919.2707777,67201.74382676858,4214893.372814925,2502326248.293953,42174.720804781704,2645198.4888759083,2011573769.7089062
2031-05-01,103650.2650822352,6500944.625957792,3153078863.8967357,66299.6790668108,4158315.8710703733,2506484564.1650233,41549.86226874523,2606007.3614957007,2014179777.070402
2031-06-01,102386.37094298369,6421673.185543937,3159500537.0822797,65441.67629885425,4104501.9374641385,2510589066.1024876,40911.58964740766,2565974.9026854085,2016745751.9730873
2031-07-01,101177.60610753833,6345859.455064804,3165846396.5373445,64596.91378881203,4051518.4328342904,2514640584.5353217,40329.4131240385,2529460.791139695,2019275212.764227
2031-08-01,100028.56645799334,6273791.688245342,3172120188.2255898,63738.448453811936,3997675.4870230844,2518638260.0223446,39770.67072654635,2494416.467968987,2021769629.2321959
2031-09-01,98823.07712194535,6198183.397088412,3178318371.6226783,62968.15111823663,3949362.4381358013,2522587622.46048,39204.12248675112,2458882.56236903,2024228511.794565
2031-10-01,97742.58463591602,6130414.908364653,3184448786.531043,62193.87132421843,3900799.60945498,2526488422.0699353,38667.062707896206,2425198.17303925,2026653709.9676042
2031-11-01,96651.90312069337,6062007.363729889,3190510793.894773,61431.86846620714,3853006.790200512,2530341428.860136,38140.93316813128,2392199.328305194,2029045909.2959094
2031-12-01,95550.04229411102,5992898.6526866425,3196503692.5474596,60688.34131228198,3806372.7671063254,2534147801.6272426,37624.05821925532,2359780.9315116936,2031405690.227421
2032-01-01,94529.65138599879,5928899.734929844,3202432592.2823896,59954.1100506369,3760321.782375946,2537908123.4096184,37153.73530500901,2330282.278330165,2033735972.5057511
2032-02-01,93489.16496407613,5863640.426546855,3208296232.7089367,59249.81288626337,3716148.2642264385,2541624271.673845,36642.91811435563,2298243.8241323847,2036034216.3298836
2032-03-01,92533.75959094777,5803717.401544244,3214099950.110481,58555.99531471239,3672632.026138761,2545296903.6999836,36184.48724526018,2269491.0400227183,2038303707.3699062
2032-04-01,91526.5576957078,5740545.698674793,3219840495.8091555,57893.18378841112,3631060.4872091454,2548927964.187193,35682.83376309851,2238027.3336215387,2040541734.7035277
2032-05-01,90577.0053385975,5680989.774836835,3225521485.5839925,57230.92549912645,3589523.647305211,2552517487.834498,35242.76169041681,2210426.013222942,2042752160.7167506
2032-06-01,89624.7853259918,5621266.535646206,3231142752.119639,56586.1160881092,3549081.201046209,2556066569.035544,34808.82286848482,2183209.370311368,2044935370.087062
2032-07-01,88724.73529323604,5564815.397591764,3236707567.5172305,55954.178668684886,3509446.086099916,2559576015.121644,34381.80910796915,2156427.0672518252,2047091797.1543138
2032-08-01,87852.60155322962,5510115.169418561,3242217682.686649,55349.65169136441,3471530.1540823756,2563047545.2757263,33945.07257393943,2129034.951837481,2049220832.1061513
2032-09-01,86983.0679962763,5455578.0247264495,3247673260.711375,54746.24224141249,3433684.313381391,2566481229.5891075,33545.13578381744,2103950.9163610297,2051324783.0225124
2032-10-01,86113.44537265388,5401035.293772851,3253074296.005148,54151.29929090438,3396369.491525523,2569877599.080633,33140.91546018512,2078598.2176628106,2053403381.2401752
2032-11-01,85290.45759089736,5349417.500101083,3258423713.505249,53574.25734701448,3360177.420804748,2573237776.501438,32758.624364074134,2054620.9201147296,2055458002.16029
2032-12-01,84430.37020001955,5295472.818945226,3263719186.3241944,53008.00528399979,3324662.0914124665,2576562438.5928507,32369.3637192865,2030206.492473649,2057488208.6527636
2033-01-01,83672.98496005565,5247969.61669469,3268967155.9408894,52444.68991466821,3289330.9514479903,2579851769.5442986,31987.05864629015,2006228.3182953182,2059494436.9710588
2033-02-01,82899.45080702555,5199453.554616643,3274166609.495506,51921.594025935054,3256522.3773066467,2583108291.921605,31623.284721103064,1983412.417707584,2061477849.3887665
2033-03-01,82150.79424534529,5152497.815068056,3279319107.310574,51385.91937381694,3222924.8631257983,2586331216.784731,31278.19280785663,1961768.252908768,2063439617.6416752
2033-04-01,81375.36531573674,5103862.912603008,3284422970.223177,50881.04094287929,3191258.8879373893,2589522475.6726685,30927.330262513602,1939762.154064853,2065379379.7957401
2033-05-01,80677.68812951325,5060104.599483071,3289483074.82266,50388.09020907386,3160341.0179131124,2592682816.690582,30589.038892606397,1918544.5193442733,2067297924.3150845
2033-06-01,79947.71787042088,5014320.864832797,3294497395.687493,49880.55969682079,3128508.7041845997,2595811325.3947663,30240.53715395047,1896686.4902957734,2069194610.8053803
2033-07-01,79244.41908910817,4970209.965268864,3299467605.652762,49384.2053418965,3097377.3590437486,2598908702.75381,29906.60088833134,1875742.0077161416,2071070352.8130965
2033-08-01,78513.59596398367,4924372.738861055,3304391978.391623,48925.30348432598,3068595.0345369256,2601977297.788347,29592.12466728966,1856018.0591324074,2072926370.8722289
2033-09-01,77828.31010703288,4881391.609913102,3309273370.001536,48453.636131237065,3039012.058151189,2605016309.846498,29268.673364704024,1835731.1934342363,2074762102.065663
2033-10-01,77164.80714864934,4839776.7043632865,3314113146.7058992,47999.92626847411,3010555.375558696,2608026865.222057,28985.293772706515,1817957.6254241525,2076580059.6910872
2033-11-01,76451.19445368215,4795018.916134944,3318908165.622034,47548.1167461927,2982217.8823212064,2611009083.104378,28680.696016818893,1798853.254174881,2078378912.9452622
2033-12-01,75884.78660415324,4759493.815812491,3323667659.4378467,47107.23568654201,2954565.8222599146,2613963648.926638,28375.352060742705,1779702.0812497823,2080158615.026512
2034-01-01,75253.6658721762,4719909.923502891,3328387569.3613496,46677.834808351465,2927633.799179804,2616891282.725818,28082.639488234756,1761343.1487020839,2081919958.175214
