Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2031-03-01,152054.9767226108,9536888.140042149,3828049842.786278,80861.46109847097,5071630.840096099,2655395335.166563,41019.215048668084,2572725.1678524623,1850694209.7455282
2031-04-01,150346.18439783854,9429712.685432434,3837479555.47171,79867.24282718236,5009273.470120877,2660404608.636684,40416.22156477365,2534905.4165426036,1853229115.1620708
2031-05-01,148694.07292790737,9326092.25403835,3846805647.7257485,78890.94164567537,4948039.860016759,2665352648.496701,39834.48578529558,2498418.948453739,1855727534.1105244
2031-06-01,147188.34475671794,9231652.98314135,3856037300.70889,77945.99676201369,4888772.916913498,2670241421.4136143,39272.643355925815,2463180.191283667,1858190714.301808
2031-07-01,145702.14393026868,9138438.467306452,3865175739.1761966,76971.59816574416,4827658.636955474,2675069080.0505695,38714.627206617006,2428181.4183990187,1860618895.7202072
2031-08-01,144138.35208089623,9040357.442513812,3874216096.6187105,76042.99951184895,4769416.929383166,2679838496.979953,38201.981945337284,2396028.3076115544,1863014924.0278187
2031-09-01,142621.76179500474,8945236.899782697,3883161333.518493,75174.56776074575,4714948.889953973,2684553445.869907,37652.726559638955,2361579.0098205553,1865376503.0376391
2031-10-01,141326.0969039124,8863972.797813386,3892025306.3163066,74282.10075506676,4658973.359357787,2689212419.2292647,37183.88890030537,2332173.5118271527,1867708676.5494664
2031-11-01,139899.563052517,8774500.594653867,3900799806.9109607,73396.08902246357,4603402.703488915,2693815821.9327536,36685.31863686138,2300903.184903946,1870009579.7343702
2031-12-01,138564.49036013303,8690764.835387543,3909490571.7463484,72582.45975346897,4552371.875737574,2698368193.808491,36209.43404020286,2271055.7030015234,1872280635.4373717
2032-01-01,137227.09845484013,8606883.615087572,3918097455.361436,71760.83152237635,4500839.353083445,2702869033.161575,35757.14575019397,2242688.181452166,1874523323.618824
2032-02-01,135856.3938654811,8520913.023242975,3926618368.384679,70988.14203543866,4452376.268462713,2707321409.4300375,35307.55114097908,2214489.6075622076,1876737813.2263863
2032-03-01,134705.80746459824,8448748.2441796,3935067116.6288586,70237.31384998531,4405284.3246710785,2711726693.754709,34892.07186027417,2188430.747076396,1878926243.9734628
2032-04-01,133269.87688834858,8358686.678437223,3943425803.307296,69482.88684484598,4357966.66290874,2716084660.4176173,34436.27362965366,2159843.0820518774,1881086087.0555148
2032-05-01,132130.13907821424,8287202.322985597,3951713005.6302814,68753.97478885732,4312249.298757131,2720396909.7163744,34006.477407052334,2132886.2629703223,1883218973.318485
2032-06-01,130861.66500761788,8207643.629277793,3959920649.259559,68060.67162498491,4268765.324319053,2724665675.0406933,33602.87583324516,2107572.3722611363,1885326545.690746
2032-07-01,129603.8905283788,8128756.013939918,3968049405.273499,67331.62749598185,4223039.676547982,2728888714.7172413,33194.11774675506,2081935.0650764774,1887408480.7558227
2032-08-01,128468.55125175307,8057547.534509952,3976106952.808009,66599.59821890426,4177126.8002896747,2733065841.517531,32804.69269449476,2057510.3257987115,1889465991.0816214
2032-09-01,127440.52850124674,7993069.947598195,3984100022.755607,65918.05615646653,4134380.4821335804,2737200221.9996643,32430.445919090576,2034037.568045361,1891500028.6496668
2032-10-01,126276.22334164861,7920044.727988201,3992020067.4835954,65240.26081168109,4091869.1581086377,2741292091.157773,32064.141107960815,2011062.9302913023,1893511091.5799582
2032-11-01,125178.95454680918,7851224.029175872,3999871291.512771,64620.985048739196,4053028.182256922,2745345119.3400297,31695.077938740298,1987915.2883177914,1895499006.868276
2032-12-01,124096.53320810897,7783334.562812595,4007654626.075584,63953.69794854013,4011175.935332437,2749356295.275362,31336.133014792475,1965402.262687784,1897464409.1309636
2033-01-01,123041.13482229173,7717139.976054138,4015371766.051638,63331.169773884154,3972130.968218014,2753328426.24358,30982.149571813374,1943200.4211441348,1899407609.5521078
2033-02-01,122033.78605898263,7653959.061619391,4023025725.1132574,62735.80341925946,3934789.590455953,2757263215.834036,30655.704368627354,1922725.7780003075,1901330335.3301082
2033-03-01,120922.37052842665,7584251.079542919,4030609976.1928005,62152.58954466674,3898210.416241498,2761161426.2502775,30323.098013475887,1901864.7074052077,1903232200.0375133
2033-04-01,119935.47549239139,7522353.0228827875,4038132329.2156835,61556.76928090332,3860840.569298256,2765022266.819576,29993.53966831393,1881194.8079966495,1905113394.84551
2033-05-01,119103.10417510402,7470146.693862524,4045602475.909546,61032.25299170418,3827942.9076396865,2768850209.7272153,29669.433413601324,1860866.863701075,1906974261.709211
2033-06-01,118146.82208823376,7410168.681374022,4053012644.59092,60490.94867934232,3793992.30116835,2772644202.0283837,29347.601606134904,1840681.572736781,1908814943.2819479
2033-07-01,117193.83423304041,7350397.283096295,4060363041.8740163,59909.01729919232,3757493.565005342,2776401695.593389,29033.163193128443,1820959.9954730158,1910635903.2774208
2033-08-01,116309.16274929476,7294910.687635767,4067657952.561652,59385.50613392013,3724658.94471947,2780126354.5381083,28758.9048501757,1803758.5122030198,1912439661.7896237
2033-09-01,115369.03261762299,7235945.725777313,4074893898.2874293,58844.85570576738,3690749.3498657304,2783817103.8879743,28454.79996040347,1784685.0535165055,1914224346.8431401
2033-10-01,114474.07069314034,7179813.713873762,4082073712.001303,58317.72395939348,3657687.6467331587,2787474791.5347075,28148.797240593667,1765492.5629300347,1915989839.4060702
2033-11-01,113609.79031859669,7125606.048782384,4089199318.0500855,57837.35036803687,3627558.615083272,2791102350.149791,27849.288312393248,1746707.3629533045,1917736546.7690234
2033-12-01,112718.43785566106,7069700.422307062,4096269018.4723926,57341.870438551334,3596482.1139059397,2794698832.2636967,27587.85599566364,1730310.3280480236,1919466857.0970714
2034-01-01,111938.24405050329,7020766.666847566,4103289785.1392403,56827.26348658821,3564205.965878812,2798263038.2295756,27316.31021982851,1713278.976987644,1921180136.074059
2034-02-01,111100.42775173926,6968218.828589086,4110258003.967829,56321.776884338746,3532501.846185726,2801795540.0757613,27054.12283847459,1696834.5844291262,1922876970.658488
2034-03-01,110201.04909976231,6911809.799537092,4117169813.7673664,55860.78238179814,3503588.270986379,2805299128.346748,26779.419419343,1679605.185981193,1924556575.8444693
2034-04-01,109504.18518002977,6868102.494491467,4124037916.261858,55386.931455580685,3473868.3408940206,2808772996.687642,26539.814928121352,1664577.192291771,1926221153.036761
2034-05-01,108721.57065135094,6819016.9112527305,4130856933.1731105,54947.29510827451,3446294.3491909774,2812219291.0368333,26285.00672590239,1648595.621848598,1927869748.6586096
2034-06-01,107942.31669532182,6770142.103130585,4137627075.2762413,54478.29950643525,3416878.945043619,2815636169.981877,26032.57194350041,1632762.9122963457,1929502511.570906
2034-07-01,107192.86543035656,6723136.5197919635,4144350211.7960334,54053.79609263519,3390254.090930079,2819026424.072807,25783.68455679133,1617152.6954019521,1931119664.2663078
2034-08-01,106438.96064786345,6675851.611833995,4151026063.4078674,53599.21228248837,3361742.5943576703,2822388166.6671643,25539.981170603412,1601867.619020246,1932721531.885328
2034-09-01,105718.0649648313,6630637.034594219,4157656700.4424615,53165.20364870163,3334521.5728465663,2825722688.2400107,25319.073502233357,1588012.2900600762,1934309544.175388
2034-10-01,104974.76155609016,6584017.044797975,4164240717.4872594,52766.49166513267,3309514.357237121,2829032202.597248,25096.36482746492,1574044.0019785997,1935883588.1773667
2034-11-01,104306.48397594543,6542102.674971297,4170782820.1622305,52371.044785737766,3284711.9289614726,2832316914.5262094,24858.238508303704,1559108.7192408084,1937442696.8966076
2034-12-01,103610.94230870486,6498478.301601969,4177281298.4638324,51948.037431515826,3258180.907704673,2835575095.433914,24620.357070411774,1544188.7954562264,1938986885.6920638
2035-01-01,102942.2186201333,6456535.95185476,4183737834.415687,51537.11557961702,3232407.8891535792,2838807503.3230677,24406.598302592563,1530781.8455386055,1940517667.5376024
2035-02-01,102264.77589057713,6414046.743856997,4190151881.159544,51178.03042315367,3209886.0681401985,2842017389.3912077,24206.431334342185,1518227.3732899418,1942035894.9108922
2035-03-01,101558.41503950139,6369743.791277527,4196521624.9508214,50781.510315739775,3185016.3270031987,2845202405.7182107,23984.917995683973,1504334.0566892987,1943540228.9675815
2035-04-01,100852.75170782603,6325484.587114848,4202847109.537936,50409.60754015678,3161690.584918633,2848364096.303129,23757.798890531627,1490089.1464141437,1945030318.1139956
2035-05-01,100315.74914703722,6291803.786502174,4209138913.3244386,50069.84736250024,3140380.826576015,2851504477.1297054,23558.381062670727,1477581.660250708,1946507899.7742462
2035-06-01,99631.93905285891,6248915.217395311,4215387828.541834,49717.334862160256,3118271.242554691,2854622748.37226,23364.707962472774,1465434.4834062923,1947973334.2576525
2035-07-01,99045.03400686599,6212104.532910635,4221599933.0747447,49354.080862221395,3095487.9516785257,2857718236.323939,23156.043358686235,1452347.0394568006,1949425681.2971094
2035-08-01,98342.45076685917,6168038.512097407,4227767971.586842,48973.37987285571,3071610.38562551,2860789846.709564,22973.401988147074,1440891.7726965845,1950866573.0698059
2035-09-01,97733.96403508168,6129874.224280323,4233897845.8111224,48621.709335977386,3049553.6095525017,2863839400.3191166,22794.494916818545,1429670.721182859,1952296243.7909887
2035-10-01,97060.58003120283,6087639.579557042,4239985485.3906794,48295.334014875894,3029083.349413016,2866868483.6685295,22612.444838189174,1418252.540251225,1953714496.33124
2035-11-01,96495.33338671474,6052187.310014749,4246037672.700694,47976.75624845717,3009102.1519032335,2869877585.8204327,22435.370070354147,1407146.4108126122,1955121642.7420526
2035-12-01,95991.68814338594,6020598.680353166,4252058271.3810472,47643.47428046452,2988198.7068707347,2872865784.527303,22244.54757288616,1395178.02377142,1956516820.765824
2036-01-01,95399.36541158175,5983448.198614407,4258041719.579662,47320.6975575817,2967954.150811524,2875833738.678115,22060.209526512655,1383616.3415028737,1957900437.107327
2036-02-01,94869.18040512691,5950194.99500956,4263991914.5746713,47001.574272067504,2947938.7383440738,2878781677.416459,21876.328740261382,1372083.3385891938,1959272520.4459162
2036-03-01,94303.06113343647,5914687.994289135,4269906602.56896,46716.04776599929,2930030.5158834755,2881711707.9323425,21716.443330436163,1362055.325684956,1960634575.7716012
2036-04-01,93746.03182590648,5879751.116120854,4275786353.685081,46382.36035157981,2909101.641251086,2884620809.5735936,21524.606049460435,1350023.2914221585,1961984599.0630233
2036-05-01,93155.70226395545,5842725.645995285,4281629079.331076,46077.49424618344,2889980.4391206256,2887510790.0127144,21363.022553767638,1339888.7745723063,1963324487.8375957
2036-06-01,92696.30349471734,5813912.155188671,4287442991.4862647,45779.835908830624,2871311.308201857,2890382101.320916,21194.365378882983,1329310.5965635406,1964653798.4341593
2036-07-01,92154.65915403703,5779940.222141203,4293222931.708406,45466.19240829417,2851639.5878482102,2893233740.9087644,21047.70216262937,1320111.8796401143,1965973910.3137994
2036-08-01,91573.91599675213,5743516.011316293,4298966447.719722,45196.589457410206,2834730.090768768,2896068470.999533,20876.84795741363,1309395.9038889827,1967283306.2176883
2036-09-01,91169.31087686548,5718139.178197003,4304684586.897919,44879.84289191439,2814863.7461808706,2898883334.745714,20725.806574468552,1299922.5883506676,1968583228.806039
2036-10-01,90697.50538204206,5688547.537561677,4310373134.43548,44599.16972449376,2797259.9251202485,2901680594.6708345,20569.06392504736,1290091.6893789705,1969873320.495418
2036-11-01,90139.36315464259,5653540.8570591835,4316026675.29254,44329.20578514841,2780327.7868445083,2904460922.4576793,20408.374683014878,1280013.260118693,1971153333.7555368
2036-12-01,89666.16847955351,5623862.087037596,4321650537.379578,44048.79749644255,2762740.578976877,2907223663.0366564,20263.38542813112,1270919.5340523839,1972424253.2895892
2037-01-01,89116.0005580665,5589355.555001931,4327239892.93458,43745.490721499606,2743717.178052455,2909967380.214709,20104.12176246235,1260930.5169416384,1973685183.8065307
